SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526409,KKALPANAIND ,X ,Q,21.45,21.45,19.30,20.80,20.80,19.75,12,1063,21523.00,
526415,OK PLAY (I) ,XT,Q,29.50,29.50,29.35,29.35,29.35,30.85,35,3935,115583.00,
526423,KRITI INDUS.,X ,Q,20.00,21.00,19.75,20.85,21.00,20.75,31,5762,118151.00,
526433,ASM TECHNOLO,X ,Q,109.90,109.90,106.70,106.70,106.70,109.30,9,95,10360.00,
526441,VISIONCINE  ,XT,Q,0.65,0.69,0.65,0.69,0.69,0.66,2,1005,656.00,
526471,WINSOME BREW,XT,Q,3.80,3.80,3.80,3.80,3.80,4.00,5,1015,3857.00,
526479,SKY INDUST. ,X ,Q,33.00,35.95,32.75,32.90,33.70,35.90,20,1139,38035.00,
526481,PHOENIX INT.,XT,Q,16.00,16.00,16.00,16.00,16.00,16.00,7,735,11760.00,
526492,RISHIROOP   ,X ,Q,52.00,52.10,52.00,52.10,52.10,53.20,2,16,832.00,
526504,DOLPHIN MEDI,XT,Q,1.14,1.14,1.14,1.14,1.14,1.14,1,2,2.00,
526506,SYSTAMATIX C,X ,Q,38.20,39.10,38.20,39.10,39.10,38.10,8,8751,337725.00,
526508,SHAHISHIP   ,XT,Q,7.95,7.95,7.95,7.95,7.95,7.98,1,16,127.00,
526519,ALPINE HSG. ,X ,Q,13.75,13.75,13.67,13.68,13.68,12.50,4,210,2880.00,
526521,SANGHI IND. ,B ,Q,63.00,63.30,62.00,62.50,62.75,62.45,12,266,16615.00,
526538,MAXIMAA SYST,X ,Q,2.65,2.70,2.60,2.70,2.70,2.65,9,22555,59386.00,
526544,SCANP GEOM  ,X ,Q,25.30,26.50,24.25,24.95,24.95,26.75,41,34379,868942.00,
526546,CHOKSI LABOR,X ,Q,13.30,13.40,13.30,13.40,13.40,13.99,2,1500,20050.00,
526550,CCHHL       ,T ,Q,6.55,6.56,6.18,6.18,6.18,6.50,8,1632,10609.00,
526586,WIM PLAST LT,X ,Q,472.30,501.90,466.10,473.60,470.00,484.65,76,1331,628822.00,
526596,LIBERTY SHOE,B ,Q,128.55,128.55,125.20,126.00,126.00,128.65,166,6980,885656.00,
526608,ELECTROTHERM,B ,Q,278.55,293.40,270.00,272.55,270.05,280.50,213,4159,1154697.00,
526612,BLUE DART EX,A ,Q,2709.60,2715.00,2700.00,2706.65,2706.65,2710.10,20,41,110935.00,
